Vorname;Nachname;Geburtsdatum;Geschlecht;Telefon-Nr.;Bundesland;Stadt;Postleitzahl;Straße;Hausnummer;Adresszusatz
Sibylle;Kahnt;04.03.2005;w;06550/40662492;Rheinland-Pfalz;Reiff;54619;Herzogstraße;4;116
Bruna;Ruß;04.04.1935;d;06544/92897590;Rheinland-Pfalz;Asbach;55758;Adenrother Weg;160;
Vroni;Anton;04.03.1985;w;04204/89350348;Niedersachsen;Morsum;27321;Langenbochumer Straße;105;
Rezzo;Meer;26.03.1980;m;0241/73967257;Nordrhein-Westfalen;Aachen;52066;Emil-Nolde-Straße;11c;
Isidor;Steinmüller;14.01.1907;m;;Rheinland-Pfalz;Weisenheim am Sand;67256;Achenbacher Straße;186;
Winrich;Jünger;02.08.1917;m;07034/80343367;Baden-Württemberg;Hildrizhausen;71157;Westholz;28;
Ditmar;Striegl;15.11.1932;m;;Rheinland-Pfalz;Spangdahlem;54529;Hochfelder Straße;149;
Ehrentrudis;Fredrich;02.01.2018;w;03473/29289601;Sachsen-Anhalt;Bräunrode;6333;Hellenhahner Straße;146;
Simon;Riedmann;04.08.1936;m;04838/62505739;Schleswig-Holstein;Schalkholz;25782;Tempelhofer Straße;73;
Karola;Oetken;19.03.1978;w;05721/79439448;Niedersachsen;Stadthagen;31655;An der Wintermaar;133;72
Gusti;Kraft;27.04.1970;w;02634/74545878;Rheinland-Pfalz;Kurtscheid;56581;Ammerlandstraße;11;
Helmgard;Brüstle;19.06.1934;d;06594/78468098;Rheinland-Pfalz;Birresborn;54574;Geißäckerstraße;43;
Brita;Hübsch;25.06.1915;w;;Baden-Württemberg;Mannheim;68169;Freiligrathstraße;189;
Miguel;Heuser;28.07.1912;m;05082/30044421;Niedersachsen;Langlingen;29364;An der Kirchenwiese;25 c;
Evelin;Luczak;26.07.1928;w;0911/37646133;Bayern;Nürnberg;90471;Heesstraße;126;
Karolin;Lamers;29.03.1937;w;08055/96079994;Bayern;Höslwang;83129;Schladeberg;149;
Helgomar;Spaniol;20.09.1926;m;06351/33673324;Rheinland-Pfalz;Eisenberg;67304;Götzentaler Weg;163;
Erdmute;Schmahl;20.05.1995;w;030/93638354;Berlin;Wilhelmsruh;13158;Walkersbrunn;118;
Edmund;Fehling;09.08.1985;m;03923/87034125;Sachsen-Anhalt;Gehrden;39264;Auf dem Kottenflürchen;161;
Till;McKinney;17.01.1950;m;07156/6913;Baden-Württemberg;Ditzingen;71254;Im Herrengarten;91;
Kathrein;Riecken;12.04.2022;w;02692/50120383;Rheinland-Pfalz;Kolverath;56767;Marburger Straße;199;
Clivia;Kelle;04.06.1956;w;08144/28854431;Bayern;Kottgeisering;82288;Im Zillgen;68;
Karlotto;Herkenrath;26.10.1985;m;;Niedersachsen;Osterwald;49828;Feldbergstraße;61;
Arved;Lehne;01.08.2003;m;04356/84135314;Schleswig-Holstein;Borgstedt;24794;Franz-Mehring-Straße;65;
Tore;Schödel;27.06.1999;m;04324/95179263;Schleswig-Holstein;Arpsdorf;24634;Tulpenstraße;50;
Marlinde;Rinker;02.10.2016;w;07175/5936429;Baden-Württemberg;Leinzell;73575;Dahlienweg;162;
Marielene;Kalus;06.01.1994;w;;Bayern;Medlingen;89441;Hockelbachstraße;154;
John;Westenberger;19.02.2023;m;07633/83157650;Baden-Württemberg;Hartheim;79258;Droste-Hülshoff-Straße;56;
Sigune;Karst;24.04.1906;w;;Nordrhein-Westfalen;Merzenich;52399;Mehrbachstraße;94;
Gerlinde;Pfennig;10.09.1970;w;04351/44870100;Schleswig-Holstein;Altenhof;24340;Schlesingstraße;27;
Helfried;Klimm;10.05.1975;m;;Nordrhein-Westfalen;Beverungen;37688;Am Hofacker;182;
Lydia;Brandes;14.06.1907;w;06322/20973302;Rheinland-Pfalz;Bad Dürkheim an der Weinstraße;67098;Markgrafenstraße;82;
Helmuth;Lott;13.08.1921;m;;Rheinland-Pfalz;Kerschenbach;54589;Mehrbachstraße;74;
Burgunda;Kauf;03.03.1990;d;07348/71469103;Baden-Württemberg;Bernstadt;89182;Hirschberger Straße;138;
Folkhard;Alberti;10.06.1985;m;02672/22554213;Rheinland-Pfalz;Lütz;56290;Haaserdriesch;63;
Thassilo;Hauber;16.10.1981;m;06387/79877581;Rheinland-Pfalz;Sankt Julian;66887;Wilhelm-Tent-Straße;171;
Ferdi;Weißenborn;02.07.1976;m;;Hessen;Egelsbach;63329;Espenweg;22;
Willmar;Klappert;13.10.1936;m;06333/79386694;Rheinland-Pfalz;Steinalben;66851;Meinhardingstraße;72;
Melvin;Lander;30.01.1997;m;04394/2605442;Schleswig-Holstein;Schillsdorf;24637;Clemens-August-Straße;197;
Berna;Schünemann;14.06.1940;w;;Baden-Württemberg;Schönau;79677;Markt;185;
Mike;Aden;01.08.1975;m;02654/1704544;Rheinland-Pfalz;Rüber;56295;Nisterstraße;138;
Liesgret;Mayer;20.04.1947;w;09148/37010841;Bayern;Ettenstatt;91796;Ludwig-Neck-Straße;117;
Josepha;Senn;21.11.2011;w;06188/99942428;Bayern;Kahl am Main;63796;Olsdorf;74;
Elise;Pauli;07.08.1910;w;08383/99313570;Bayern;Stiefenhofen;88167;Gustav-Hertz-Straße;20;
Reintraut;Kirchberg;12.12.1975;w;09151/32247018;Bayern;Kirchensittenbach;91241;Schmiedstraße;125;
Lili;Markmann;12.12.1937;w;02685/98272690;Rheinland-Pfalz;Ziegenhain;57632;Spreewaldstraße;112;
Anna;Ritzer;04.10.1902;w;06592/46350407;Rheinland-Pfalz;Darscheid;54552;Niedern;53b;
Layla;Sippel;21.11.1955;w;;Bayern;Kunreuth;91358;Bahnhofsplatz;4a;
Hansfriedrich;Limbach;14.05.2019;m;07634/33090549;Baden-Württemberg;Buggingen;79426;Huestraße;92;
Birk;Klemm;01.03.1931;m;06581/43022665;Rheinland-Pfalz;Trassem;54441;Werkerhofplatz;122;
Herold;Gerritzen;15.03.2004;m;06756/31568645;Rheinland-Pfalz;Allenfeld;55595;Reinhardstraße;156;
Lucas;Haack;19.12.1987;m;03923/74666086;Sachsen-Anhalt;Leps;39264;Hellerbergstraße;10;
Waltrude;Gründer;25.03.1902;w;08095/44720467;Bayern;Aying;85653;Röderweg;168;
Trautlind;Luczak;07.06.1930;w;;Saarland;Freisen;66629;Bladernheimer Straße;94;
Kreszenz;Amon;02.08.2014;w;089/62784041;Bayern;Pullach;82049;Am Mühlenberg;111;
Uschi;Hämmerling;01.06.2003;w;;Baden-Württemberg;Nordrach;77787;Renneperstraße;47;
Carolina;Rosenbusch;16.07.1916;w;04123/1988585;Schleswig-Holstein;Bullenkuhlen;25355;Dorfanger;28;
Paulinus;Hammes;10.03.1939;m;06391/95503612;Rheinland-Pfalz;Busenberg;76891;Gertrudstraße;38;
Resie;Cobb;15.12.1993;w;08803/444372;Bayern;Peißenberg;82380;Starenstraße;114 b;
Meinold;Lösch;13.07.2004;m;05366/82387655;Niedersachsen;Barwedel;38476;Sülztalstraße;152;
Edelhard;Bialek;29.12.1981;m;09131/27173758;Bayern;Erlangen;91056;Bendenstraße;160;
Melitta;Rüsch;18.08.1975;w;06544/46992077;Rheinland-Pfalz;Sulzbach;55758;Kauer Ring;102;
Alheid;Jantzen;27.01.2004;d;;Niedersachsen;Burgdorf;38272;Pierer Straße;19;
Dankhard;Zhang;18.06.1996;m;08136/80901195;Bayern;Markt Indersdorf;85229;Ratheimer Straße;195;
Telse;Domin;07.10.1912;w;07034/63335256;Baden-Württemberg;Gärtringen;71116;Am Laach;4;
Ermenhild;Minke;15.03.2000;w;07157/12826464;Baden-Württemberg;Waldenbuch;71111;Katharinastraße;182;
Reimo;Benedix;15.10.1926;m;07673/94386564;Baden-Württemberg;Fröhnd;79677;Rempartstraße;160;
Wilja;Saile;23.01.1976;w;02634/388181;Rheinland-Pfalz;Hümmerich;53547;Herbartstraße;38b;
Evamaria;Gutierrez;18.07.1949;w;05936/20444932;Niedersachsen;Twist;49767;Nellheck;191;
Darius;Harvey;24.06.1949;d;06897/10466701;Saarland;Friedrichsthal;66299;Aumerich;126;
Gottwalt;Görtz;15.02.1977;m;030/18337186;Berlin;Wedding;13357;Im Stemmen;22;
Kuno;Windmüller;17.12.1934;m;02662/88930498;Rheinland-Pfalz;Giesenhausen;57612;Skagerrakstraße;26;
Tom;Mittermeier;15.12.1968;m;07272/32336475;Rheinland-Pfalz;Rülzheim;76761;Heidgasse;171;
Altfried;Schippers;07.01.1944;m;0214/44922099;Nordrhein-Westfalen;Leverkusen;51371;Laar;118;122
Dittmar;Sörensen;10.10.1906;m;04862/42210218;Schleswig-Holstein;Kotzenbüll;25832;Drachterstraße;153;11
Hannsgeorg;Harper;06.06.1993;m;05252/73175537;Nordrhein-Westfalen;Schlangen;33189;Am Pilgerborn;111;
Bernulf;Brettschneider;06.07.1998;m;06244/44003068;Rheinland-Pfalz;Gundersheim;67598;Lämmerstraße;12;
Wernhild;Warnken;17.02.1904;w;02236/74680724;Nordrhein-Westfalen;Wesseling;50389;Fritz-Windisch-Straße;93;
Jeannine;Roßbach;07.12.1942;w;;Rheinland-Pfalz;Mosbruch;56767;Jägerweg;108;6
Siegbritta;Lottes;30.08.1924;w;;Bremen;Bremen;28201;Auf dem Damm;76;
Joschua;Duscha;28.04.1948;m;0203/61076117;Nordrhein-Westfalen;Duisburg;47138;Emschertalstraße;91;
Germut;Klaes;07.06.1966;m;06351/94210925;Rheinland-Pfalz;Ramsen;67305;Schanzenstraße;54;
Fritzi;Karrasch;25.08.1969;w;;Bayern;Röthenbach;88167;Bennauer Straße;173;
Dietwalt;Geis;03.06.1903;m;;Saarland;Püttlingen;66346;Auf dem Rode;53;
Cora;Teipel;26.12.1970;d;06359/72033305;Rheinland-Pfalz;Quirnheim;67280;Marienburgstraße;193;
Degenhard;Bergen;07.07.1985;m;02156/80010875;Nordrhein-Westfalen;Willich;47877;Felsenstraße;172;
Andreas;Fredrich;24.11.1916;m;0271/33204168;Nordrhein-Westfalen;Siegen;57072;Vor den Erlen;104;
Rudolf;Strohm;30.06.2023;m;06503/60431090;Rheinland-Pfalz;Geisfeld;54413;Effnerstraße;116;
Sebald;Weinhold;08.11.1920;m;0203/65010995;Nordrhein-Westfalen;Duisburg;47249;Brühlweg;110;
Adriane;Vesper;12.06.2004;w;0911/13405950;Bayern;Nürnberg;90439;Achenbachstraße;58;
Friedjörg;Kassel;10.12.1925;m;04342/38362864;Schleswig-Holstein;Boksee;24220;Wiesengasse;109;
Bringfried;Elfers;31.10.1934;m;06747/13898123;Rheinland-Pfalz;Hausbay;56291;Longbentonstraße;54;
Wolfram;Gleich;14.10.1915;m;06305/89425136;Rheinland-Pfalz;Waldleiningen;67693;Katharinastraße;33;111
Neidhardt;Widera;03.01.1973;m;06381/69757290;Rheinland-Pfalz;Schellweiler;66869;Nieukerker Straße;107;
Henriette;Bukowski;23.03.1973;w;06246/41960114;Rheinland-Pfalz;Eich;67575;Sudfeldstraße;188;
Erdwin;Fröhlich;05.12.1973;d;0228/85619040;Nordrhein-Westfalen;Bonn;53113;Hohe Anwand;97;
Volkard;Wagener;18.12.1999;m;08222/14217853;Bayern;Landensberg;89361;Harzstraße;79;
Leonie;Beth;01.06.2015;w;06372/21920994;Rheinland-Pfalz;Bechhofen;66894;An der Ley;46c;
Marion;Burkhard;20.08.1943;d;;Nordrhein-Westfalen;Essen;45327;Rom;131;
Eberhart;Dörflinger;06.08.1908;m;06408/69897453;Hessen;Reiskirchen;35447;Theodorstraße;30;
Elenore;Burghardt;05.04.1993;d;06701/17188136;Rheinland-Pfalz;Wolfsheim;55578;Wäschbachstraße;48;
Helgomar;Tauscher;17.04.1971;m;02133/16149246;Nordrhein-Westfalen;Dormagen;41539;Pfarrer-Hansen-Straße;33;
Marzellus;Mehringer;13.06.1989;m;0711/40600940;Baden-Württemberg;Stuttgart;70329;Dierdorfer Straße;84;
Harri;Felgenhauer;14.08.1976;m;;Schleswig-Holstein;Kappeln;24376;Domagkweg;58;
Wolfbert;Ferdinand;13.05.1958;m;02654/48137159;Rheinland-Pfalz;Einig;56751;Rebhuhnweg;117;
Henning;Reinke;13.10.2018;m;04627/54331717;Schleswig-Holstein;Hollingstedt;24876;Nierenberger Straße;8;
Lidia;Hauser;22.02.1996;w;;Rheinland-Pfalz;Schauerberg;66919;Eintrachtstraße;138;
Susann;Woldt;05.04.1995;w;06527/53189685;Rheinland-Pfalz;Brecht;54636;Bruch;124;
Hieronymus;Christof;29.08.1908;m;;Hessen;Naumburg;34311;In der Au;139;
Mathias;Schöne;20.07.1935;m;06073/15820031;Hessen;Babenhausen;64832;Zur Hainbuche;145;
Wilhelm;Balci;25.09.1938;d;02041/39257051;Nordrhein-Westfalen;Bottrop;46244;Winzerstraße;143;
Roselette;Neumaier;04.01.1922;w;02642/17356919;Rheinland-Pfalz;Remagen;53424;Im Tiergarten;21;
Waltraud;Cordes;30.11.1928;w;0671/54511328;Rheinland-Pfalz;Mandel;55595;Ringstraße;20;
Kaspar;Penz;06.09.1938;m;;Schleswig-Holstein;Oldendorf;25588;Weidelbacher Straße;29;
Margot;Voss;23.04.1944;w;09181/93951996;Bayern;Neumarkt;92318;Marbachstraße;165;
Dietburg;Rickmann;07.02.1962;w;030/74706737;Berlin;Staaken;13591;Meisenstraße;75;165
Hanskarl;Grube;18.05.1949;m;;Bayern;Albaching;83539;Untermarkstraße;11;
Niclas;Hehl;14.06.1930;m;;Niedersachsen;Stadthagen;31655;Nohner Straße;16;
Anna;Herold;04.07.1977;w;02662/11609797;Rheinland-Pfalz;Mörsbach;57629;Heribertstraße;187;
Adelhard;Stieler;25.05.1967;m;09082/2704808;Bayern;Oettingen;86732;Erste Anwend;65;
Jolanda;Exner;13.05.1935;w;02662/15096738;Rheinland-Pfalz;Wied;57629;Kalter Rain;81;
Romanus;Sonnenschein;07.08.1997;m;06224/36653082;Baden-Württemberg;Leimen;69181;Auf dem Driesch;75;
Kaja;Ridder;24.11.1915;w;0511/78853162;Niedersachsen;Langenhagen;30855;Gerwigstraße;63;
Jeremy;Rühlemann;12.02.1917;m;04153/58382251;Schleswig-Holstein;Lanze;21483;Nonnenbacher Weg;112;
Elisa;Kunzelmann;29.07.2012;w;09471/22832163;Bayern;Maxhütte-Haidhof;93142;Widdeshovener Straße;6a;167
Ludwiga;Ricker;20.07.1937;w;;Bayern;Kammeltal;89358;Birkelbacher Straße;69;
Walfried;Fromm;19.11.1982;d;069/82091004;Hessen;Offenbach am Main;63067;Am Zehnthof;39;
Hannelotte;Stützer;28.10.1989;w;02202/53972795;Nordrhein-Westfalen;Bergisch Gladbach;51469;Im Sonnenhang;3;
Sigtrud;Hauswald;18.10.2011;w;05373/8252420;Niedersachsen;Leiferde;38542;Zur Windmühle;45;
Adina;Alsleben;07.08.2000;w;02657/497513;Rheinland-Pfalz;Uersfeld;56767;Rurstraße;186;
Lucie;Wright;04.06.1968;w;05605/2352457;Hessen;Helsa;34298;Josef-Annegarn-Weg;148;
Ottheinz;Noetzel;06.10.1931;m;06432/75710361;Rheinland-Pfalz;Gückingen;65558;Invalidensiedlung;152;
Josephina;Sauer;28.03.2015;w;07904/6611231;Baden-Württemberg;Wolpertshausen;74549;Am Schönblick;193;
Ottokar;Marxen;26.11.1942;m;09154/72624882;Bayern;Pommelsbrunn;91224;Klosterstraße;14;
Christl;Arens;28.01.1980;w;06563/87757796;Rheinland-Pfalz;Sankt Thomas;54655;Haus-Berge-Straße;164;
Adi;Gerstenberg;10.06.1916;m;;Baden-Württemberg;Gerabronn;74582;Oberbierenbach;194;
Christoph;Flor;31.03.1975;m;03726/69332213;Sachsen;Flöha;9557;Karl-Kaufmann-Weg;105;
Nepomuk;Wüstenberg;07.05.1973;m;03647/60090021;Thüringen;Gössitz;7389;Am Ehrenmal;54;
Sibrand;Flöter;15.05.2009;m;;Hamburg;Hausbruch;21149;Gescherweg;184;
Alrik;Hustedt;05.02.1986;m;06473/95224777;Hessen;Leun;35638;Im Klingental;53;
Christmut;Klump;02.01.1948;m;;Rheinland-Pfalz;Gillenfeld;54558;Auf dem Gäu;127;
Lore;Stiehl;16.08.2022;w;;Baden-Württemberg;Hirschhorn;69434;Dohlengasse;194;
Claas;Kohrs;17.03.1990;m;0621/79688627;Rheinland-Pfalz;Ludwigshafen am Rhein;67067;Thielenstraße;81;
Wolfram;Liehr;06.07.2023;m;06525/61802592;Rheinland-Pfalz;Kaschenbach;54668;Auf dem Hösten;96;
Mila;Keppler;20.02.1919;w;06187/20969053;Hessen;Schöneck;61137;Rheinblick;164;
Jonathan;Freytag;27.08.1992;m;;Nordrhein-Westfalen;Castrop-Rauxel;44581;Auricher Straße;144;141
Gieselind;Kant;23.07.2001;w;06553/79028799;Rheinland-Pfalz;Balesfeld;54597;Auf dem Kampe;46;
Karlhorst;Kirchberg;04.05.2010;m;05904/40005498;Niedersachsen;Handrup;49838;Konsul-Cassel-Straße;79;
Tilo;Beutel;19.03.1986;m;02692/60447447;Rheinland-Pfalz;Retterath;56769;Wuppertaler Straße;73;
Wilhelm;Beuter;03.06.1937;m;06331/66904819;Rheinland-Pfalz;Schweix;66957;Sieg-Lahn-Straße;135;
Augustinus;Weiland;02.07.2003;m;06407/46161823;Hessen;Rabenau;35466;Saynwaldstraße;69;
Susanna;Petrovic;08.12.1928;w;02653/55475117;Rheinland-Pfalz;Gamlen;56761;Balthasar-Neumann-Straße;3;41
Myrjam;Reese;11.01.2020;d;07123/94181692;Baden-Württemberg;Metzingen;72555;Lohweg;179;
Olaf;Stühler;30.12.1908;m;04167/15581149;Niedersachsen;Apensen;21641;Nochen;128;
Willibert;Finkbeiner;07.07.1999;m;05403/23170273;Niedersachsen;Bad Iburg;49186;Am Geisberg;128 b;
Roselore;Triebel;05.05.1969;w;04827/21092721;Schleswig-Holstein;Huje;25588;Aremberger Straße;38;
Ekkard;Bengsch;14.08.1998;m;09088/78776456;Bayern;Merzingen;86751;Birkhofstraße;140;
Thies;Lesch;20.08.1998;m;09652/77307278;Bayern;Waidhaus;92726;Orchideenweg;103;
Gerlinda;Rossbach;01.02.2023;w;08641/94840101;Bayern;Grassau;83224;Fraukircher Straße;46;
Pankraz;Voß;25.04.2014;m;04267/84714418;Niedersachsen;Stemmen;27389;Helleweg;26;
Dieter;Knust;20.10.1912;m;0251/12983091;Nordrhein-Westfalen;Münster;48167;Reinersstraße;62;
Wintrud;Fröde;27.10.1938;w;07582/11582161;Baden-Württemberg;Seekirch;88422;Im Ruhrfeld;145;
Erltrud;Heuschkel;27.03.2008;w;05355/75921806;Niedersachsen;Frellstedt;38373;Hufen;181;
Bjarne;Pirner;04.06.1917;m;04892/38827548;Schleswig-Holstein;Schenefeld;25560;Wilhelm-Hellge-Straße;190;
Ricarda;Gehrlein;26.03.1940;w;06353/86219401;Rheinland-Pfalz;Bobenheim am Berg;67273;Römerstraße;167;
Kaya;Meiser;17.08.1967;d;06251/99065990;Hessen;Einhausen;64683;Lukas-Cranach-Straße;35;
Augustus;Karakas;28.10.1926;m;;Niedersachsen;Cramme;38312;Speestraße -;50b;
Kevin;Scheidt;16.11.1903;d;05364/90974498;Niedersachsen;Danndorf;38461;Im Enger;56;
Hartwald;Lay;15.06.1982;m;06233/17619865;Rheinland-Pfalz;Großniedesheim;67259;Nachtigallenstraße;120;100
Otthart;Elsner;19.09.1944;m;;Rheinland-Pfalz;Windesheim;55452;Auf der Hufe;20;
Zacharias;Pantel;04.09.1923;d;08029/64731217;Bayern;Kreuth;83708;Zur Wiese;85;
Rütger;Herbig;11.10.1968;m;;Rheinland-Pfalz;Hungenroth;56281;Seckacher Straße;126;
Ludwig;Clark;11.11.1934;m;;Bayern;Schwenningen;89443;Friedrichstraße;5;
Larissa;Breyer;30.03.1951;d;04354/57458065;Schleswig-Holstein;Hummelfeld;24357;Am Fischteich;152;
Neithard;Henrich;27.07.1953;m;0431/48714566;Schleswig-Holstein;Rumohr;24254;Ringofenstraße;101;87
John;Grebner;25.04.1953;m;09232/22413738;Bayern;Bad Alexandersbad;95680;Felmicke;40;
Wendelin;Miles;19.06.1977;m;07033/60872160;Baden-Württemberg;Heimsheim;71296;Delpstraße;54;
Yvonne;Rosenau;04.03.1978;w;0421/77601549;Bremen;Bremen;28757;In der Pfad;27;
Isbert;Koopmann;22.09.1929;m;;Bremen;Bremerhaven;27568;Am Wimberg;122;
Mina;Busche;02.12.1980;d;06623/47268847;Hessen;Rotenburg an der Fulda;36199;Wingertsberg;76;
Fynn;Fritzsch;10.11.1997;m;06331/30054056;Rheinland-Pfalz;Eppenbrunn;66957;Gubener Straße;7;
Marfriede;Fritzler;23.12.1980;d;08651/7516068;Bayern;Bad Reichenhall;83435;Am Vogelsbaum;143;
Adeline;Biel;07.03.2000;w;06754/22716479;Rheinland-Pfalz;Martinstein;55627;Südwall;117;
Ottilia;Knüppel;02.11.1956;w;06772/74244014;Rheinland-Pfalz;Niedertiefenbach;56368;Stedinger Straße;38;138
Thiemo;Ginter;25.08.1985;m;;Bayern;Falkenberg;84326;Zaungartenstraße;157;
Jons;Wegner;17.09.1912;m;02261/4720428;Nordrhein-Westfalen;Gummersbach;51647;Riege;159;
Gotthard;Lehmeier;01.12.2013;d;06701/706660;Rheinland-Pfalz;Badenheim;55576;Heckhaus;194;
Burghart;Königsmann;26.11.1974;m;0391/27113508;Sachsen-Anhalt;Magdeburg;39112;Am Kelter;92;
Jochen;Zwingmann;25.04.1954;m;;Baden-Württemberg;Mühlhausen;73347;Am grauen Stein;76;
Herwiga;Schneidereit;11.10.1944;w;0203/94037004;Nordrhein-Westfalen;Duisburg;47051;Hedwigstraße;147;
Rainhard;Parker;27.01.1917;m;0561/71975109;Hessen;Kassel;34127;Blumenweg;96;
Burgis;Baehr;28.01.2008;w;0671/56675999;Rheinland-Pfalz;Spabrücken;55595;Dorfwiese;16;
Reinholdine;Goldstein;31.10.1964;d;;Rheinland-Pfalz;Niederraden;54675;Bocholt;30;
Angela;Kaufhold;29.06.1921;w;;Schleswig-Holstein;Ellerau;25479;In der Stehl;155;
Ottheinrich;Herklotz;03.04.1997;m;05271/92262117;Nordrhein-Westfalen;Höxter;37671;Bert-Brecht-Straße;68;
Rosemie;Lüdicke;08.07.2004;w;02689/58246097;Rheinland-Pfalz;Großmaischeid;56276;Achter de Stadt;161;
Gertrudis;Gierse;21.02.1960;w;07393/60320023;Baden-Württemberg;Hausen am Bussen;89597;Am Lauterberg;119;
Imke;Weirich;26.12.1904;w;;Hessen;Dietzhölztal;35716;Brucknerweg;131;
Siegmund;Kreiner;10.09.1997;d;06136/45513425;Rheinland-Pfalz;Essenheim;55270;Am Mühlberg;139;
Malin;Daum;17.02.1948;w;06257/28177711;Hessen;Seeheim-Jugenheim;64342;An der Baumschule;58;
Lene;Hösl;10.11.1933;w;09281/68919071;Bayern;Döhlau;95182;Grazer Straße;86;
Christhardt;Kohnke;16.03.1976;m;06550/60571955;Rheinland-Pfalz;Lierfeld;54597;Hardt;54;
Tilman;Knepper;15.07.1964;m;0651/87683843;Rheinland-Pfalz;Hockweiler;54316;Staufenbergstraße;97;
Siegfriede;Hanne;14.03.1961;w;03843/45412940;Mecklenburg-Vorpommern;Güstrow;18273;Am Born;49;
Hartmann;Friesen;02.10.1959;m;05043/35310098;Niedersachsen;Lauenau;31867;Bonner Straße;74;
Titus;Hauer;17.05.1948;m;07141/86163412;Baden-Württemberg;Ludwigsburg;71634;Kieselkaul;52;
Dela;Appelt;31.10.1991;w;08333/672098;Bayern;Kettershausen;86498;Ravenéstraße;18;
Friedegard;Stommel;19.03.1973;w;04151/72947714;Schleswig-Holstein;Mühlenrade;21493;Flachskamp;169;
Friedjörg;Hilbert;18.10.1927;m;02636/78591377;Rheinland-Pfalz;Niederdürenbach;56651;Johann-Krane-Weg;66;126
Vitalis;Freytag;12.11.1989;m;040/90066364;Schleswig-Holstein;Bönningstedt;25474;Selfkantstraße;12;
Arndt;Koller;11.07.1998;m;05347/42154722;Niedersachsen;Burgdorf;38272;Alfredstraße;9;
Mareile;Wolski;24.10.1936;w;06731/38426627;Rheinland-Pfalz;Bermersheim vor der Höhe;55234;Heukers Weide;61;
Carlotta;Eberhardt;09.11.1934;w;07122/22400655;Baden-Württemberg;Sankt Johann;72813;Laufenstraße;40;
Wilja;Zingler;27.09.1919;w;06551/92930609;Rheinland-Pfalz;Prüm;54595;Höhenweg;11;
Ottilia;Löffel;20.08.1929;w;07774/93894646;Baden-Württemberg;Eigeltingen;78253;Harkortstraße;56;
Tobias;Stegmüller;06.04.1980;m;04522/33813551;Schleswig-Holstein;Dörnick;24326;Lange Straße;114;
Sandra;Nichols;01.04.1927;w;05532/78290223;Niedersachsen;Golmbach;37640;Hohenhorst;62;
Wedig;Meilen;14.05.1982;m;04298/5973357;Niedersachsen;Lilienthal;28865;Laerer Straße;107;
Nanni;Clausen;10.01.1927;w;04433/87377405;Niedersachsen;Dötlingen;27801;Am Reitplatz;169;
Donatus;Jepsen;28.07.1906;m;06564/57339324;Rheinland-Pfalz;Scheuern;54673;Bernhard-Rösler-Straße;13;
